City,Zip Code,County,Median Income,Cost Of Living Index ($),Median Mortgage To Income Ratio (%),Owner Occupied Homes (%),Median Rooms In Home,College Degree (%),Professional (%),Population,Average Household Size,Median Age,Male To Female Ratio (%),Married (%),Divorced (%),White (%),Black (%),Asian (%),Hispanic Ethnicity (%)
Edison,8817,Middlesex,"63,980",172.2,22.8,57.9,5.0,38.2,43.7,"45,452",2.7,33.9,96.5,61.1,6.3,55.1,7.6,26.0,8.6
Edison,8818,Middlesex,,,,,,,,,,,,,,,,,
Edison,8820,Middlesex,"85,927",260.7,22.3,78.7,6.5,50.6,54.4,"37,549",2.9,38.9,90.9,67.1,4.7,51.9,5.1,38.1,3.0
Kendall Park,8824,Middlesex,"89,354",218.7,22.7,90.1,7.3,44.5,48.9,"11,867",3.1,36.5,89.0,71.5,4.8,70.3,4.3,18.0,3.8
Helmetta,8828,Middlesex,"60,125",128.2,26.3,88.2,5.0,18.4,29.0,"1,825",2.4,35.8,93.7,59.1,12.9,89.0,2.1,2.6,4.9
Iselin,8830,Middlesex,"65,506",164.9,22.9,75.1,5.7,32.4,39.5,"16,358",2.7,37.4,94.5,60.6,6.7,61.4,5.5,24.2,5.9
Monroe Township,8831,Middlesex,"54,685",178.0,23.3,90.6,5.7,27.9,36.3,"34,377",2.3,52.5,78.2,65.3,5.5,89.0,3.5,2.1,4.0
Keasbey,8832,Middlesex,"51,411",134.9,24.3,18.7,3.9,29.2,41.0,"2,968",2.6,29.5,93.5,57.2,6.3,20.0,21.1,14.5,41.6
Edison,8837,Middlesex,"57,013",176.2,23.1,48.5,4.5,34.1,42.1,"14,652",2.4,37.9,91.1,56.3,7.9,67.5,6.8,14.8,7.7
Metuchen,8840,Middlesex,"73,461",203.5,21.6,81.4,6.2,46.0,50.3,"15,726",2.6,39.1,88.1,60.7,7.1,77.8,5.0,10.0,4.6
Middlesex,8846,Middlesex,"60,723",182.1,23.8,75.0,6.0,23.4,34.9,"13,717",2.7,38.0,89.0,58.4,8.8,82.0,3.4,4.4,8.8
Milltown,8850,Middlesex,"71,817",201.6,22.3,84.9,6.6,29.9,40.1,"8,460",2.7,40.3,92.2,61.4,6.2,90.6,0.5,4.4,3.8
Monmouth Junction,8852,Middlesex,"71,712",190.7,22.7,65.5,5.3,49.2,54.4,"13,571",2.5,33.2,91.3,60.9,10.5,67.9,8.3,15.5,6.2
Piscataway,8854,Middlesex,"68,709",185.9,23.5,69.2,5.7,40.4,45.7,"50,527",3.0,33.3,91.8,58.4,6.2,44.5,19.6,24.8,7.8
Piscataway,8855,Middlesex,,,,,,,,,,,,,,,,,
Old Bridge,8857,Middlesex,"65,855",185.3,23.3,67.7,6.0,30.0,38.1,"36,014",2.7,36.4,88.3,61.6,7.5,76.2,4.0,11.0,7.3
Parlin,8859,Middlesex,"60,486",164.4,22.5,64.2,5.6,25.8,36.2,"19,971",2.7,36.5,91.9,61.1,7.7,68.6,7.4,11.6,8.5
Perth Amboy,8861,Middlesex,"38,188",147.2,25.1,42.8,4.7,9.7,17.6,"49,417",3.2,31.5,91.4,50.5,8.4,21.5,7.5,1.2,67.6
Perth Amboy,8862,Middlesex,,,,,,,,,,,,,,,,,
Fords,8863,Middlesex,"56,903",172.5,23.3,69.0,5.6,26.2,34.6,"11,649",2.6,37.5,93.3,59.1,7.9,69.6,4.8,13.8,9.7
Sayreville,8871,Middlesex,,,,,,,,,,,,,,,,,
Sayreville,8872,Middlesex,"57,961",169.5,23.8,65.1,5.6,26.7,34.8,"18,833",2.7,35.1,91.2,60.7,5.8,66.5,11.4,11.4,7.7
South Amboy,8879,Middlesex,"52,976",157.5,23.1,62.9,5.5,16.9,28.0,"21,962",2.6,36.9,90.1,54.5,8.6,82.0,3.2,4.9,7.2
South River,8882,Middlesex,"52,324",165.5,23.1,69.2,5.7,20.9,27.3,"15,322",2.7,36.4,95.9,58.6,7.2,77.9,5.9,3.3,9.9
Spotswood,8884,Middlesex,"55,833",161.0,22.8,79.5,5.8,18.1,27.8,"7,880",2.5,39.7,89.2,60.9,7.2,90.7,1.0,2.7,4.4
Edison,8899,Middlesex,,,,,,,,,,,,,,,,,
New Brunswick,8901,Middlesex,"36,048",138.7,25.6,26.2,4.4,19.2,24.8,"48,618",3.7,23.6,104.8,34.1,6.1,32.7,20.0,5.5,39.0
North Brunswick,8902,Middlesex,"61,277",182.5,23.4,62.9,5.2,36.9,45.9,"36,851",2.6,35.4,93.6,59.8,7.9,58.7,14.5,14.0,10.2
New Brunswick,8903,Middlesex,,,,,,,,,,,,,,,,,
Highland Park,8904,Middlesex,"53,250",197.5,22.4,42.0,4.5,59.4,61.5,"13,999",2.3,34.7,90.8,52.8,8.4,68.5,7.2,13.7,8.0
New Brunswick,8905,Middlesex,,,,,,,,,,,,,,,,,
New Brunswick,8906,Middlesex,,,,,,,,,,,,,,,,,
New Brunswick,8922,Middlesex,,,,,,,,,,,,,,,,,
New Brunswick,8933,Middlesex,,,,,,,,,,,,,,,,,
New Brunswick,8988,Middlesex,,,,,,,,,,,,,,,,,
New Brunswick,8989,Middlesex,,,,,,,,,,,,,,,,,
Red Bank,7701,Monmouth,"59,851",205.0,23.2,68.0,5.5,36.2,40.9,"23,114",2.3,40.0,82.9,52.8,7.7,76.8,10.5,1.7,9.8
Shrewsbury,7702,Monmouth,"86,911",280.6,23.3,95.2,7.3,48.7,50.7,"3,590",2.9,38.4,90.4,68.3,7.3,94.8,0.7,1.3,1.8
Fort Monmouth,7703,Monmouth,,,,,,,,,,,,,,,,,
Fair Haven,7704,Monmouth,"97,220",341.1,23.9,93.2,7.4,61.7,55.6,"5,937",2.9,37.4,87.0,70.8,5.6,92.3,4.3,0.5,1.6
Red Bank,7709,Monmouth,,,,,,,,,,,,,,,,,
Adelphia,7710,Monmouth,,,,,,,,,,,,,,,,,
Allenhurst,7711,Monmouth,"88,021",315.6,21.7,82.0,7.9,57.1,54.8,"1,891",2.6,42.0,97.4,64.5,6.2,97.1,0.6,0.5,0.6
Asbury Park,7712,Monmouth,"40,046",198.0,24.0,44.4,4.7,28.4,34.6,"39,877",2.4,35.0,83.1,48.4,10.2,52.0,30.1,4.8,9.8
Belmar,7715,Monmouth,,,,,,,,,,,,,,,,,
Atlantic Highlands,7716,Monmouth,"68,442",217.4,24.6,69.8,6.0,35.5,44.8,"8,849",2.4,40.7,86.6,55.1,10.4,88.0,5.2,1.9,3.0
Avon By The Sea,7717,Monmouth,"60,192",379.4,24.1,64.2,6.0,47.9,50.6,"2,237",2.0,43.9,87.5,51.4,8.9,96.8,0.4,1.5,0.9
Belford,7718,Monmouth,"65,920",175.7,24.5,93.2,6.2,21.3,36.5,"5,977",2.8,37.1,98.6,64.0,5.6,91.5,0.4,2.3,4.9
Belmar,7719,Monmouth,"57,113",204.5,24.5,70.5,5.6,34.5,40.7,"21,540",2.4,38.4,90.2,54.6,9.9,92.0,1.7,1.2,3.7
Bradley Beach,7720,Monmouth,"40,878",178.8,26.3,42.1,4.6,25.1,32.5,"4,793",2.0,36.9,92.0,41.0,11.3,79.8,4.5,0.2,13.1
Cliffwood,7721,Monmouth,"47,906",155.4,28.1,56.8,5.2,23.1,31.8,"2,436",2.6,33.2,77.4,58.2,6.9,39.9,43.0,3.4,9.7
Colts Neck,7722,Monmouth,"108,608",473.3,21.1,82.3,8.1,47.5,52.3,"12,362",3.4,33.3,100.3,68.8,3.2,83.3,7.7,4.1,4.0
Deal,7723,Monmouth,"63,571",480.1,37.3,70.9,7.7,33.4,37.9,"1,702",2.7,41.8,82.0,59.3,5.2,95.0,0.2,0.0,4.1
Eatontown,7724,Monmouth,"58,265",189.4,23.3,60.7,5.2,37.2,45.7,"23,149",2.4,36.6,89.5,57.9,9.1,70.6,13.1,7.4,5.6
Englishtown,7726,Monmouth,"81,806",262.4,23.8,92.8,7.7,38.1,46.1,"40,373",3.0,38.1,87.4,68.8,3.8,88.7,1.8,4.7,3.5
Farmingdale,7727,Monmouth,"62,420",236.0,23.4,73.8,6.4,28.1,39.4,"6,105",2.9,37.0,92.8,62.9,7.8,87.7,4.1,1.2,5.9
Freehold,7728,Monmouth,"65,399",200.6,23.6,82.1,6.3,32.6,41.2,"50,561",2.8,37.7,90.5,62.5,6.8,77.8,6.7,4.4,9.7
Hazlet,7730,Monmouth,"65,734",192.2,23.3,89.9,6.9,20.5,35.0,"18,527",2.9,39.0,87.9,64.3,6.1,88.4,1.2,3.8,5.5
Howell,7731,Monmouth,"71,153",187.6,24.1,89.4,6.9,28.6,37.1,"38,018",3.1,34.4,92.3,66.3,6.0,86.0,2.8,3.8,5.5
Highlands,7732,Monmouth,"46,092",142.1,25.9,55.4,4.4,27.7,35.4,"5,199",2.0,38.6,102.2,41.8,19.6,91.8,0.5,0.9,3.6
Holmdel,7733,Monmouth,"114,985",445.3,22.1,95.2,7.8,55.6,64.4,"15,558",3.2,40.6,85.3,69.8,4.2,77.4,0.7,16.5,2.9
Keansburg,7734,Monmouth,"41,318",121.3,25.7,61.2,5.0,9.8,21.9,"13,856",2.8,35.1,88.8,51.4,9.5,88.4,1.5,1.9,6.9
Keyport,7735,Monmouth,"53,146",145.5,25.9,71.4,5.4,12.9,25.9,"20,677",2.7,36.4,91.9,54.2,9.3,82.0,5.3,1.6,9.3
Leonardo,7737,Monmouth,"72,718",193.2,24.0,89.2,6.6,26.7,36.4,"4,445",2.9,37.5,93.1,60.3,7.8,94.4,1.0,0.4,2.5
Lincroft,7738,Monmouth,"94,657",329.3,21.9,87.0,7.7,48.6,53.7,"6,205",2.9,40.2,97.4,70.2,2.5,90.9,0.7,5.1,2.4
Little Silver,7739,Monmouth,"94,094",332.3,24.0,96.4,7.3,60.4,59.3,"6,170",2.7,41.1,84.5,71.3,5.1,95.9,0.3,1.9,1.3
Long Branch,7740,Monmouth,"38,733",154.1,26.7,42.8,4.6,20.3,28.5,"31,605",2.4,34.8,87.6,46.4,11.3,57.6,16.8,1.7,20.5
Marlboro,7746,Monmouth,"103,255",316.9,22.4,96.5,7.9,51.0,54.7,"17,414",3.2,38.9,94.8,72.4,1.8,83.3,1.8,10.5,3.3
Matawan,7747,Monmouth,"72,468",200.9,23.4,76.2,6.1,38.5,47.4,"29,208",2.6,37.7,90.3,62.7,7.2,78.5,5.0,8.8,5.5
Middletown,7748,Monmouth,"80,284",253.3,22.6,84.6,7.3,36.0,41.5,"29,057",2.9,37.9,90.2,66.9,4.8,91.9,0.8,2.8,3.4
Monmouth Beach,7750,Monmouth,"80,484",309.3,23.6,81.8,5.6,48.7,54.8,"3,595",2.2,44.6,85.6,56.1,12.9,96.7,0.4,0.7,1.4
Morganville,7751,Monmouth,"102,926",312.9,22.4,96.3,7.9,54.9,56.2,"16,941",3.2,36.0,91.6,74.1,3.8,78.1,2.1,14.7,3.3
Navesink,7752,Monmouth,,,,,,,,,,,,,,,,,
Neptune,7753,Monmouth,"50,927",150.6,24.0,72.0,5.7,21.9,34.9,"32,372",2.6,38.6,81.9,52.2,9.6,57.2,33.2,1.6,5.5
Neptune,7754,Monmouth,,,,,,,,,,,,,,,,,
Oakhurst,7755,Monmouth,"71,331",210.4,23.5,88.5,6.9,37.3,39.8,"6,760",2.9,38.5,89.8,63.3,5.9,92.7,1.3,2.1,1.9
Ocean Grove,7756,Monmouth,"31,991",164.6,26.6,42.7,4.6,36.0,45.7,"4,263",1.8,45.4,74.5,36.3,14.7,90.8,2.6,1.1,4.3
Oceanport,7757,Monmouth,"71,458",254.3,23.5,88.2,6.7,35.9,44.6,"5,549",2.7,41.6,86.8,64.2,5.7,97.5,0.3,1.0,0.5
Port Monmouth,7758,Monmouth,"59,097",169.3,25.7,82.4,6.2,17.1,30.1,"4,765",3.0,35.7,84.7,56.6,7.4,90.3,1.9,0.0,5.2
Rumson,7760,Monmouth,"99,015",437.0,22.6,79.4,6.8,58.8,54.6,"9,592",2.6,39.5,91.3,64.8,7.7,95.6,0.6,0.9,2.4
Spring Lake,7762,Monmouth,"59,883",327.9,24.8,66.6,6.0,45.9,47.6,"9,289",2.1,48.5,76.6,54.7,9.2,97.1,1.0,0.1,1.1
Tennent,7763,Monmouth,,,,,,,,,,,,,,,,,
West Long Branch,7764,Monmouth,"71,852",224.0,24.8,84.8,6.9,34.8,39.1,"8,258",3.3,33.8,87.4,57.2,5.1,90.7,2.3,0.6,3.5
Wickatunk,7765,Monmouth,,,,,,,,,,,,,,,,,
Holmdel,7777,Monmouth,,,,,,,,,,,,,,,,,
Eatontown,7799,Monmouth,,,,,,,,,,,,,,,,,
Allentown,8501,Monmouth,"72,295",220.1,23.6,84.2,7.0,34.9,42.8,"5,036",2.8,38.3,96.1,69.0,4.6,90.9,3.0,0.3,2.3
Millstone Township,8510,Monmouth,"88,575",349.8,24.2,96.5,7.8,44.6,53.6,"2,110",3.0,38.5,104.2,70.6,3.0,92.1,5.2,0.0,2.0
Cream Ridge,8514,Monmouth,"71,711",240.1,23.5,88.5,6.7,31.4,38.3,"3,106",2.9,40.1,96.6,71.5,6.8,89.7,1.1,1.4,4.6
Imlaystown,8526,Monmouth,,,,,,,,,,,,,,,,,
Perrineville,8535,Monmouth,"118,412",415.5,25.2,94.7,9.1,48.1,56.2,"1,908",3.5,36.4,98.9,81.2,4.7,86.0,6.4,3.3,2.0
Roosevelt,8555,Monmouth,,,,,,,,,,,,,,,,,
Allenwood,8720,Monmouth,,,,,,,,,,,,,,,,,
Brielle,8730,Monmouth,"68,368",306.5,25.3,83.4,6.5,44.6,55.9,"4,893",2.5,42.9,87.3,63.4,10.0,92.1,3.4,0.0,2.8
Manasquan,8736,Monmouth,"73,353",301.2,24.6,81.3,6.3,43.0,44.2,"13,103",2.5,40.7,87.7,61.5,7.0,95.5,0.1,0.6,3.0
Sea Girt,8750,Monmouth,"79,954",437.4,22.3,87.4,7.3,55.0,53.7,"3,907",2.3,47.5,85.3,64.5,5.6,97.9,0.0,0.5,1.1
Boonton,7005,Morris,"75,762",271.8,23.1,73.6,6.6,38.0,46.4,"15,179",2.7,38.8,89.4,61.1,7.5,84.1,1.9,6.9,4.8
Lake Hiawatha,7034,Morris,"60,187",190.1,24.5,61.4,5.2,32.5,39.9,"9,361",2.5,35.9,98.6,56.9,6.6,74.1,2.4,13.4,7.0
Lincoln Park,7035,Morris,"68,988",206.4,24.1,75.9,5.6,32.9,42.4,"10,906",2.7,39.6,86.1,61.7,7.7,86.7,1.5,5.6,5.3
Mt Olive,7828,Morris,"60,729",198.4,25.0,51.7,5.0,31.8,39.4,"13,007",2.6,33.8,94.9,58.1,9.2,80.4,2.9,7.1,7.4
Mount Olive,7828,Morris,"60,729",198.4,25.0,51.7,5.0,31.8,39.4,"13,007",2.6,33.8,94.9,58.1,9.2,80.4,2.9,7.1,7.4
Montville,7045,Morris,"100,213",377.7,21.8,95.2,7.3,52.5,56.3,"10,694",2.8,40.9,87.1,68.1,4.6,84.4,0.9,11.2,2.2
Mountain Lakes,7046,Morris,"141,757",546.5,21.6,96.8,9.1,76.1,68.7,"4,256",3.1,39.4,90.5,77.6,3.4,92.0,0.7,3.6,2.4
Parsippany,7054,Morris,"62,106",263.9,24.0,51.7,5.1,41.1,44.5,"27,538",2.5,37.3,89.0,60.6,7.4,63.5,3.3,20.8,8.2
Pine Brook,7058,Morris,"90,286",393.5,24.3,60.0,6.8,55.5,54.5,"5,172",2.7,35.3,98.2,66.9,3.6,73.6,0.0,20.2,2.9
Towaco,7082,Morris,"93,485",322.2,21.3,94.5,7.4,45.2,48.2,"4,508",2.9,38.6,93.0,69.6,6.2,88.5,0.1,8.7,1.4
Butler,7405,Morris,"76,750",288.1,23.0,82.5,7.1,42.0,47.8,"16,785",2.8,38.7,93.0,68.8,5.4,92.0,0.1,2.8,3.5
Pequannock,7440,Morris,"65,856",254.6,25.3,85.5,6.7,27.8,41.4,"4,688",2.7,39.1,87.3,67.4,5.6,94.9,0.4,1.3,3.2
Pompton Plains,7444,Morris,"76,854",267.4,24.1,91.5,6.6,42.6,44.9,"9,200",2.7,38.7,87.8,65.6,6.2,94.4,0.0,2.6,2.7
Riverdale,7457,Morris,"71,083",224.6,24.1,82.2,6.1,30.8,36.1,"2,498",2.6,37.2,88.6,59.0,8.4,89.8,1.5,5.5,1.8
Dover,7801,Morris,"56,082",180.0,23.2,56.4,5.3,17.2,22.7,"24,347",3.2,34.0,100.2,55.6,8.1,40.0,5.9,3.9,49.1
Dover,7802,Morris,,,,,,,,,,,,,,,,,
Mine Hill,7803,Morris,"64,643",179.2,25.0,89.8,6.2,28.2,40.4,"3,679",2.6,37.6,88.9,61.6,7.7,83.5,3.9,3.3,8.8
Picatinny Arsenal,7806,Morris,,,,,,,,,,,,,,,,,
Budd Lake,7828,Morris,"60,729",198.4,25.0,51.7,5.0,31.8,39.4,"13,007",2.6,33.8,94.9,58.1,9.2,80.4,2.9,7.1,7.4
Denville,7834,Morris,"78,074",250.3,22.4,86.9,6.5,44.8,49.1,"17,163",2.6,39.7,87.7,66.4,5.9,89.2,0.9,6.4,2.4
Flanders,7836,Morris,"76,040",263.4,23.9,64.3,7.1,43.4,50.3,"12,276",2.7,34.8,104.6,66.4,5.0,85.4,3.8,6.0,4.0
Hibernia,7842,Morris,,,,,,,,,,,,,,,,,
Ironia,7845,Morris,,,,,,,,,,,,,,,,,
Kenvil,7847,Morris,"51,750",184.5,22.7,69.5,6.4,16.0,23.3,"1,504",2.7,36.6,78.0,59.2,9.9,85.5,0.4,0.0,12.6
Lake Hopatcong,7849,Morris,"63,785",171.5,22.2,84.7,5.8,23.1,35.1,"6,900",2.6,37.5,95.0,60.9,9.6,94.6,0.2,0.1,3.9
Landing,7850,Morris,"66,295",175.4,24.7,77.8,6.2,23.1,35.7,"6,857",2.8,35.4,91.5,64.0,8.7,86.9,3.4,2.7,6.4
Ledgewood,7852,Morris,"63,750",198.0,23.0,82.9,5.7,36.4,48.9,"2,623",2.3,39.8,73.8,56.2,10.2,91.0,0.6,4.3,3.8
Long Valley,7853,Morris,"103,326",316.8,22.3,90.1,8.0,55.9,57.1,"13,383",3.1,38.2,91.6,71.0,4.3,95.5,0.5,1.3,1.6
Mount Arlington,7856,Morris,"66,367",199.2,25.1,80.6,5.8,36.5,39.5,"3,461",2.3,39.3,79.6,57.7,9.4,88.2,2.1,2.5,5.1
Netcong,7857,Morris,"49,224",165.0,24.4,48.8,5.0,20.8,31.0,"3,226",2.2,37.6,88.3,51.6,10.4,85.4,2.3,2.8,7.6
Rockaway,7866,Morris,"75,453",220.4,23.7,81.8,6.7,37.9,45.4,"22,559",2.7,37.2,91.2,65.5,7.3,85.1,1.8,5.5,6.4
Randolph,7869,Morris,"97,354",357.5,22.5,73.6,7.6,59.0,59.2,"24,295",2.8,36.8,94.0,69.1,4.6,82.0,1.7,10.0,4.3
Schooleys Mountain,7870,Morris,,,,,,,,,,,,,,,,,
Succasunna,7876,Morris,"87,458",255.1,23.2,94.9,7.7,41.7,46.9,"11,098",3.1,37.9,91.2,69.8,4.0,89.4,0.7,4.6,3.8
Mount Tabor,7878,Morris,,,,,,,,,,,,,,,,,
Wharton,7885,Morris,"61,947",185.2,22.8,70.3,5.7,27.2,36.3,"10,491",2.6,36.5,92.9,58.0,9.2,76.1,2.2,3.7,15.2
Brookside,7926,Morris,,,,,,,,,,,,,,,,,
Cedar Knolls,7927,Morris,"82,453",263.7,22.8,88.2,6.7,37.1,40.1,"3,176",2.7,40.0,91.6,59.5,6.1,87.4,0.0,9.5,2.5
Chatham,7928,Morris,"104,936",420.4,20.2,81.9,7.0,66.8,63.0,"18,037",2.5,38.5,85.7,68.1,6.1,92.6,0.0,4.4,2.0
Chester,7930,Morris,"109,479",435.0,23.3,89.4,8.2,61.2,59.4,"7,987",3.0,39.3,95.1,71.6,4.2,92.0,1.2,2.0,3.5
Florham Park,7932,Morris,"88,555",346.9,21.5,86.0,7.1,56.0,54.7,"8,514",2.6,43.0,85.5,65.7,5.6,93.5,0.7,3.5,1.4
Gillette,7933,Morris,"81,862",304.8,22.9,90.7,6.8,49.2,47.8,"3,185",2.6,40.5,88.3,68.9,6.5,89.2,0.5,5.7,1.6
Green Village,7935,Morris,,,,,,,,,,,,,,,,,
Roxbury,7852,Morris,"63,750",198.0,23.0,82.9,5.7,36.4,48.9,"2,623",2.3,39.8,73.8,56.2,10.2,91.0,0.6,4.3,3.8
Jefferson,7435,Morris,"79,762",244.2,23.1,84.0,6.7,36.1,48.1,"2,117",2.7,38.8,102.1,64.5,4.9,93.4,0.6,0.0,2.2
Hanover,7927,Morris,"82,453",263.7,22.8,88.2,6.7,37.1,40.1,"3,176",2.7,40.0,91.6,59.5,6.1,87.4,0.0,9.5,2.5
Victory Gardens,7801,Morris,"56,082",180.0,23.2,56.4,5.3,17.2,22.7,"24,347",3.2,34.0,100.2,55.6,8.1,40.0,5.9,3.9,49.1
Kinnelon,7405,Morris,"76,750",288.1,23.0,82.5,7.1,42.0,47.8,"16,785",2.8,38.7,93.0,68.8,5.4,92.0,0.1,2.8,3.5
Harding,7976,Morris,,,,,,,,,,,,,,,,,
Long Hill,7933,Morris,"81,862",304.8,22.9,90.7,6.8,49.2,47.8,"3,185",2.6,40.5,88.3,68.9,6.5,89.2,0.5,5.7,1.6
East Hanover,7936,Morris,"82,133",343.3,24.4,94.0,7.4,33.3,44.2,"11,393",2.9,40.7,89.4,66.9,4.1,84.4,0.2,10.9,2.8
Madison,7940,Morris,"82,915",397.1,22.0,67.0,6.5,56.8,52.9,"16,558",2.9,34.3,88.1,56.6,6.0,85.6,2.6,3.5,5.8
Mendham,7945,Morris,"127,481",503.0,21.0,89.4,8.2,67.5,57.9,"9,465",3.0,40.7,85.4,71.8,4.0,93.4,0.0,2.0,3.0
Millington,7946,Morris,"105,511",366.1,22.8,90.2,7.7,58.9,59.7,"2,921",2.8,39.4,90.6,71.8,4.5,91.7,0.5,3.6,4.0
Greystone Park,7950,Morris,"91,165",299.2,22.1,81.5,6.8,53.8,55.6,"17,171",2.6,39.3,92.1,63.7,6.5,83.0,1.3,10.5,2.8
Morris,7960,Morris,"81,621",355.4,22.0,65.2,6.4,53.6,53.6,"43,619",2.6,38.5,90.3,57.1,7.4,71.3,9.8,3.7,13.6
Morris Twp,7960,Morris,"81,621",355.4,22.0,65.2,6.4,53.6,53.6,"43,619",2.6,38.5,90.3,57.1,7.4,71.3,9.8,3.7,13.6
Morris Plains,7950,Morris,"91,165",299.2,22.1,81.5,6.8,53.8,55.6,"17,171",2.6,39.3,92.1,63.7,6.5,83.0,1.3,10.5,2.8
Morristown,7960,Morris,"81,621",355.4,22.0,65.2,6.4,53.6,53.6,"43,619",2.6,38.5,90.3,57.1,7.4,71.3,9.8,3.7,13.6
Morristown,7961,Morris,,,,,,,,,,,,,,,,,
Morristown,7962,Morris,,,,,,,,,,,,,,,,,
Morristown,7963,Morris,,,,,,,,,,,,,,,,,
Mount Freedom,7970,Morris,,,,,,,,,,,,,,,,,
New Vernon,7976,Morris,,,,,,,,,,,,,,,,,
Stirling,7980,Morris,"71,250",300.7,18.9,72.3,6.6,38.7,38.8,"2,671",2.8,37.5,102.4,65.2,4.4,88.5,0.3,4.0,6.2
Whippany,7981,Morris,"79,269",305.6,21.5,92.2,7.0,41.2,48.0,"8,319",2.6,39.9,92.6,63.1,5.8,85.9,0.2,10.1,3.2
Whippany,7983,Morris,,,,,,,,,,,,,,,,,
Whippany,7999,Morris,,,,,,,,,,,,,,,,,
Barnegat,8005,Ocean,"49,292",127.5,25.1,89.4,6.0,16.0,26.6,"16,755",2.7,38.9,87.6,63.9,6.4,92.8,1.7,1.0,2.9
Barnegat Light,8006,Ocean,,,,,,,,,,,,,,,,,
Beach Haven,8008,Ocean,"45,974",308.9,30.3,81.0,6.0,33.0,34.7,"7,784",2.0,53.8,89.9,59.9,9.6,95.6,0.2,0.5,3.1
Manahawkin,8050,Ocean,"51,726",150.8,24.6,91.8,6.0,18.0,30.0,"20,453",2.6,40.8,89.2,67.7,6.0,95.0,0.1,1.0,2.6
Tuckerton,8087,Ocean,"45,075",109.7,24.0,79.7,5.4,15.0,26.6,"20,124",2.5,39.6,90.7,60.8,9.0,94.7,0.4,1.1,2.2
West Creek,8092,Ocean,"44,792",139.5,20.3,83.0,5.7,17.8,30.8,"3,142",2.6,38.8,89.1,61.8,9.1,97.7,0.0,0.1,0.7
Jackson,8527,Ocean,"65,198",164.4,24.4,87.0,6.5,22.9,35.0,"42,525",3.0,35.2,89.5,64.2,7.3,87.4,3.2,2.0,5.9
New Egypt,8533,Ocean,"61,966",169.5,23.7,84.5,6.2,18.2,30.4,"6,703",2.9,35.4,91.9,63.0,6.7,91.2,3.4,0.1,3.6
Lakewood,8701,Ocean,"35,647",132.8,25.2,63.0,5.0,21.0,33.4,"60,387",3.0,30.6,81.8,58.3,6.7,70.8,11.0,1.7,14.4
Bayville,8721,Ocean,"52,778",143.8,23.7,85.8,6.0,14.6,28.2,"17,138",2.7,38.7,90.4,62.1,7.6,93.4,1.0,0.5,4.1
Beachwood,8722,Ocean,"59,022",126.3,24.8,89.0,6.1,13.1,25.6,"10,316",3.0,35.2,91.1,61.0,8.7,92.7,0.8,1.0,4.5
Brick,8723,Ocean,"50,069",149.6,24.6,79.1,5.7,16.0,28.1,"31,846",2.5,39.1,87.6,60.3,8.3,92.5,0.9,1.0,4.5
Brick,8724,Ocean,"53,827",147.5,24.5,86.2,5.7,21.3,33.2,"43,034",2.6,39.2,81.9,59.3,9.0,93.5,1.1,0.8,3.2
Forked River,8731,Ocean,"52,507",141.2,23.8,89.8,5.8,18.6,29.0,"17,918",2.5,39.5,93.1,65.0,7.4,96.7,0.2,0.2,2.2
Island Heights,8732,Ocean,,,,,,,,,,,,,,,,,
Lakehurst,8733,Ocean,"36,147",107.7,25.8,88.3,5.2,15.4,26.7,"15,989",2.0,63.8,77.4,61.2,6.9,87.9,6.1,1.0,3.5
Lanoka Harbor,8734,Ocean,"66,928",161.0,22.2,93.0,6.3,21.6,31.6,"7,428",3.0,37.6,87.4,62.1,6.6,97.4,0.0,0.2,1.5
Lavallette,8735,Ocean,"43,636",283.4,26.8,82.3,5.1,27.6,40.2,"4,327",2.0,57.3,83.1,60.5,7.8,96.3,0.4,0.9,1.4
Mantoloking,8738,Ocean,"70,667",447.1,30.5,91.5,6.4,45.0,41.7,"1,325",1.9,56.9,97.0,62.9,7.0,97.8,0.0,1.0,0.8
Normandy Beach,8739,Ocean,,,,,,,,,,,,,,,,,
Ocean Gate,8740,Ocean,,,,,,,,,,,,,,,,,
Pine Beach,8741,Ocean,"60,227",167.8,22.6,89.3,6.1,28.5,35.5,"2,501",2.6,40.9,95.3,63.5,7.8,97.6,0.4,0.3,1.3
Point Pleasant Beach,8742,Ocean,"55,998",191.7,25.1,76.5,5.8,30.4,36.5,"26,210",2.4,40.4,89.7,58.0,9.4,95.3,0.5,0.4,2.7
Seaside Heights,8751,Ocean,"30,611",158.4,25.8,46.3,4.4,17.6,25.0,"4,965",2.0,38.6,104.0,44.7,13.3,89.2,1.7,0.7,6.4
Seaside Park,8752,Ocean,"43,478",221.1,27.7,62.4,4.8,31.5,35.9,"2,875",1.9,48.2,85.2,52.4,8.8,96.5,0.2,0.3,1.8
Toms River,8753,Ocean,"56,526",158.3,24.2,81.3,6.2,23.1,33.6,"63,402",2.7,38.4,88.2,58.0,8.2,90.5,1.2,2.2,4.7
Toms River,8754,Ocean,,,,,,,,,,,,,,,,,
Toms River,8755,Ocean,"53,272",170.8,25.7,89.9,6.0,25.1,36.8,"22,973",2.6,43.8,82.6,63.6,7.4,88.6,2.2,3.8,4.2
Toms River,8756,Ocean,,,,,,,,,,,,,,,,,
